epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,772.135,0.79644,0.70873,0.99827,0.92389,0.8672,0.96838,0.73388,0.88372,0.84598,1.02441,0.000742625,0.000742625,0.000742625
43,790.179,0.74119,0.72677,1.02872,0.91245,0.90286,0.97147,0.72745,0.86625,0.81065,0.99795,0.00073025,0.00073025,0.00073025
44,808.182,0.78678,0.71889,1.01672,0.78126,0.96821,0.97304,0.72269,0.86707,0.83213,1.00317,0.000717875,0.000717875,0.000717875
45,825.64,0.73558,0.69422,1.01057,0.78126,0.96821,0.97304,0.72269,0.86707,0.83213,1.00317,0.0007055,0.0007055,0.0007055
46,844.35,0.74071,0.69705,1.00366,0.81548,0.94079,0.97285,0.71784,0.8896,0.86508,1.01609,0.000693125,0.000693125,0.000693125
47,862.513,0.74605,0.68245,0.98167,0.84339,0.92498,0.97871,0.72505,0.85428,0.81047,0.98714,0.00068075,0.00068075,0.00068075
48,880.674,0.75679,0.68845,0.99183,0.89478,0.97489,0.975,0.74747,0.80248,0.74694,0.95523,0.000668375,0.000668375,0.000668375
49,898.742,0.71499,0.68174,0.98894,0.89478,0.97489,0.975,0.74747,0.80248,0.74694,0.95523,0.000656,0.000656,0.000656
50,916.225,0.70188,0.68033,1.00373,0.91862,0.97145,0.984,0.77308,0.77047,0.7066,0.95114,0.000643625,0.000643625,0.000643625
51,935.014,0.72462,0.64122,0.96065,0.92198,0.93247,0.98675,0.77768,0.75834,0.7022,0.95102,0.00063125,0.00063125,0.00063125
52,953.313,0.69155,0.6432,1.01997,0.92189,0.97209,0.98,0.75108,0.7968,0.71236,0.96062,0.000618875,0.000618875,0.000618875
53,971.315,0.69594,0.6355,0.99193,0.92189,0.97209,0.98,0.75108,0.7968,0.71236,0.96062,0.0006065,0.0006065,0.0006065
54,988.884,0.68205,0.6326,0.98574,0.94181,0.98713,0.99225,0.76755,0.77664,0.7003,0.95076,0.000594125,0.000594125,0.000594125
55,1007.65,0.69684,0.63494,0.9766,0.92631,1,0.995,0.77046,0.76528,0.69825,0.94126,0.00058175,0.00058175,0.00058175
56,1027.12,0.70293,0.63043,0.98441,0.95136,0.97906,0.995,0.76084,0.7802,0.6862,0.93806,0.000569375,0.000569375,0.000569375
57,1045.12,0.66125,0.61989,0.96332,0.95136,0.97906,0.995,0.76084,0.7802,0.6862,0.93806,0.000557,0.000557,0.000557
58,1063.08,0.70377,0.6293,0.96395,0.9602,1,0.995,0.76457,0.82014,0.6853,0.95131,0.000544625,0.000544625,0.000544625
59,1081.22,0.66149,0.62528,0.98434,0.95432,0.98906,0.995,0.76486,0.81576,0.67215,0.94899,0.00053225,0.00053225,0.00053225
60,1099.42,0.66938,0.61031,0.9791,0.95513,1,0.995,0.78975,0.74084,0.66108,0.93348,0.000519875,0.000519875,0.000519875
61,1117.28,0.674,0.61677,0.9393,0.95513,1,0.995,0.78975,0.74084,0.66108,0.93348,0.0005075,0.0005075,0.0005075
62,1135.4,0.64603,0.60284,0.96784,0.95981,0.99381,0.995,0.80379,0.71876,0.6675,0.92331,0.000495125,0.000495125,0.000495125
63,1153.46,0.69361,0.63014,0.98248,0.95717,0.94605,0.99225,0.78624,0.73082,0.69117,0.92178,0.00048275,0.00048275,0.00048275
64,1171.4,0.66367,0.59987,0.95865,0.95164,0.95032,0.99062,0.7859,0.74986,0.68752,0.92247,0.000470375,0.000470375,0.000470375
65,1189.26,0.65473,0.60509,0.94363,0.95164,0.95032,0.99062,0.7859,0.74986,0.68752,0.92247,0.000458,0.000458,0.000458
66,1207.27,0.70529,0.65934,1.00704,0.97247,0.98356,0.995,0.77785,0.75706,0.66656,0.92449,0.000445625,0.000445625,0.000445625
67,1225.5,0.64669,0.5887,0.95894,0.9697,0.9902,0.995,0.75995,0.77841,0.65322,0.9234,0.00043325,0.00043325,0.00043325
68,1243.69,0.6296,0.57689,0.96263,0.97239,0.99398,0.995,0.76127,0.79372,0.65791,0.92179,0.000420875,0.000420875,0.000420875
69,1261.7,0.69089,0.62779,0.96014,0.97239,0.99398,0.995,0.76127,0.79372,0.65791,0.92179,0.0004085,0.0004085,0.0004085
70,1280.17,0.68351,0.59084,0.97079,0.98198,0.99502,0.995,0.77611,0.76441,0.65195,0.91581,0.000396125,0.000396125,0.000396125
71,1298.39,0.68955,0.60442,0.97254,0.98103,1,0.995,0.79393,0.74343,0.63595,0.91472,0.00038375,0.00038375,0.00038375
72,1316.36,0.62783,0.57483,0.96182,0.97382,0.99299,0.995,0.77007,0.76414,0.63235,0.91503,0.000371375,0.000371375,0.000371375
73,1334.48,0.67767,0.60107,0.97268,0.97382,0.99299,0.995,0.77007,0.76414,0.63235,0.91503,0.000359,0.000359,0.000359
74,1352.59,0.67581,0.59341,0.97563,0.97821,0.99003,0.995,0.77733,0.76818,0.63674,0.91394,0.000346625,0.000346625,0.000346625
75,1370.75,0.65178,0.57956,0.96149,0.97348,0.99456,0.995,0.77761,0.75783,0.62427,0.91504,0.00033425,0.00033425,0.00033425
76,1389.05,0.6591,0.59035,0.94474,0.97533,0.99854,0.995,0.78229,0.73486,0.6028,0.9145,0.000321875,0.000321875,0.000321875
77,1407.28,0.6072,0.56344,0.9455,0.97533,0.99854,0.995,0.78229,0.73486,0.6028,0.9145,0.0003095,0.0003095,0.0003095
78,1425.59,0.62149,0.5755,0.96235,0.97477,0.99764,0.995,0.79607,0.73261,0.59426,0.9104,0.000297125,0.000297125,0.000297125
79,1443.85,0.67276,0.59889,0.9697,0.97343,0.99489,0.995,0.8046,0.72642,0.58356,0.90642,0.00028475,0.00028475,0.00028475
80,1462.12,0.60533,0.56918,0.96617,0.97555,1,0.995,0.80267,0.73178,0.58766,0.90866,0.000272375,0.000272375,0.000272375
81,1480.19,0.60684,0.57508,0.94508,0.97555,1,0.995,0.80267,0.73178,0.58766,0.90866,0.00026,0.00026,0.00026
82,1498.06,0.61661,0.56724,0.94225,0.97021,1,0.995,0.79925,0.73628,0.59127,0.91493,0.000247625,0.000247625,0.000247625
83,1516.32,0.63313,0.57429,0.94216,0.96858,1,0.995,0.80654,0.7167,0.58538,0.91286,0.00023525,0.00023525,0.00023525
84,1534.69,0.63362,0.55795,0.94512,0.96996,0.99987,0.995,0.8164,0.69371,0.57137,0.90926,0.000222875,0.000222875,0.000222875
85,1552.89,0.60822,0.56115,0.94604,0.96996,0.99987,0.995,0.8164,0.69371,0.57137,0.90926,0.0002105,0.0002105,0.0002105
86,1571.14,0.57684,0.53697,0.93948,0.97202,1,0.995,0.8217,0.68192,0.55824,0.9094,0.000198125,0.000198125,0.000198125
87,1589.73,0.58983,0.54613,0.93562,0.97285,1,0.995,0.81686,0.68011,0.54662,0.9117,0.00018575,0.00018575,0.00018575
88,1607.95,0.63468,0.562,0.94725,0.9749,1,0.995,0.82355,0.68513,0.53986,0.91231,0.000173375,0.000173375,0.000173375
89,1626.07,0.61034,0.5503,0.92543,0.9749,1,0.995,0.82355,0.68513,0.53986,0.91231,0.000161,0.000161,0.000161
90,1644.35,0.59635,0.54794,0.95116,0.97822,1,0.995,0.81714,0.68762,0.53162,0.91013,0.000148625,0.000148625,0.000148625
91,1662.23,0.70143,0.91057,0.97409,0.97581,1,0.995,0.81169,0.69144,0.53255,0.90734,0.00013625,0.00013625,0.00013625
92,1679.95,0.67895,0.93002,0.99237,0.97628,1,0.995,0.80849,0.69749,0.54325,0.90288,0.000123875,0.000123875,0.000123875
93,1697.64,0.60787,0.7083,0.9388,0.97628,1,0.995,0.80849,0.69749,0.54325,0.90288,0.0001115,0.0001115,0.0001115
94,1715.62,0.62237,0.70043,0.95255,0.97523,0.99785,0.995,0.81155,0.70911,0.56142,0.90078,9.9125e-05,9.9125e-05,9.9125e-05
95,1733.48,0.59097,0.66131,0.91619,0.97234,0.99651,0.995,0.80877,0.71949,0.57903,0.90259,8.675e-05,8.675e-05,8.675e-05
96,1751.65,0.6101,0.67478,0.94492,0.9686,0.99548,0.995,0.80396,0.72291,0.59201,0.90419,7.4375e-05,7.4375e-05,7.4375e-05
97,1769.47,0.57822,0.6498,0.91542,0.9686,0.99548,0.995,0.80396,0.72291,0.59201,0.90419,6.2e-05,6.2e-05,6.2e-05
98,1787.09,0.61261,0.66656,0.92622,0.96565,0.99516,0.995,0.80236,0.71978,0.59337,0.90297,4.9625e-05,4.9625e-05,4.9625e-05
99,1804.76,0.62966,0.65061,0.95648,0.96327,0.99494,0.995,0.80768,0.71503,0.58995,0.90141,3.725e-05,3.725e-05,3.725e-05
100,1822.46,0.60439,0.63942,0.92647,0.96124,0.99486,0.995,0.81099,0.70917,0.58509,0.89976,2.4875e-05,2.4875e-05,2.4875e-05
